Pattern,Vue 3 Syntax,Description,Example
Reactive State,ref() / reactive(),Create reactive data,"const count = ref(0); const state = reactive({ name: '' })"
Computed,computed(),Computed properties,"const double = computed(() => count.value * 2)"
Watch,watch() / watchEffect(),Watch reactive changes,"watch(count, (newVal) => console.log(newVal))"
Lifecycle,onMounted() / onUnmounted(),Component lifecycle,"onMounted(() => fetchData())"
Props,defineProps<T>(),Component props,"const props = defineProps<{ title: string }>()"
Emits,defineEmits<T>(),Component events,"const emit = defineEmits<{ submit: [data: FormData] }>()"
Template Ref,ref<HTMLElement>(),DOM reference,"const inputRef = ref<HTMLInputElement>()"
Composable,use* function,Reusable logic,"const { data, loading } = useFeature()"
v-model,v-model,Two-way binding,"<el-input v-model=""text"" />"
v-if / v-show,Conditional rendering,Show/hide elements,"<div v-if=""visible"">Content</div>"
v-for,List rendering,Loop through arrays,"<div v-for=""item in items"" :key=""item.id"">{{ item.name }}</div>"
Event Handling,@click / @submit,Handle events,"<button @click=""handleClick"">Click</button>"
Class Binding,:class,Dynamic classes,":class=""{ active: isActive, 'text-red': hasError }"""
Provide/Inject,provide() / inject(),Dependency injection,"provide('key', value); const value = inject('key')"
Async Component,defineAsyncComponent(),Lazy load component,"const Comp = defineAsyncComponent(() => import('./Comp.vue'))"
Teleport,<Teleport>,Render to different DOM,"<Teleport to=""body""><Modal /></Teleport>"
KeepAlive,<KeepAlive>,Cache component state,"<KeepAlive><component :is=""current"" /></KeepAlive>"
withDefaults,withDefaults(defineProps<T>() defaultValues),Props with defaults,"withDefaults(defineProps<Props>(), { size: 'md' })"
